feature,pearson,spearman,n,abs_pearson,abs_spearman,sample_scope
Radiation_Global_Tilted,0.7958280401749969,0.7940447473195579,528974,0.7958280401749969,0.7940447473195579,daylight
Global_Horizontal_Radiation,0.7858376156655148,0.7867943249291608,526326,0.7858376156655148,0.7867943249291608,daylight
cos_hour,-0.578935605897966,-0.5596866403024403,528974,0.578935605897966,0.5596866403024403,daylight
Weather_Relative_Humidity,-0.36407960343479867,-0.3181815887991431,524151,0.36407960343479867,0.3181815887991431,daylight
Wind_Speed,0.32369760997180097,0.356453869950992,134621,0.32369760997180097,0.356453869950992,daylight
Weather_Temperature_Celsius,0.24344593189390626,0.250250614904951,526326,0.24344593189390626,0.250250614904951,daylight
wind_direction_cos,-0.19812115191150761,-0.18209671803314095,524476,0.19812115191150761,0.18209671803314095,daylight
rain_indicator,-0.1486861185402176,-0.14826255323334664,528974,0.1486861185402176,0.14826255323334664,daylight
Diffuse_Horizontal_Radiation,0.12130766156695177,0.29289169725147746,526326,0.12130766156695177,0.29289169725147746,daylight
Weather_Daily_Rainfall,-0.08583613453897174,-0.15176887065569564,526326,0.08583613453897174,0.15176887065569564,daylight
Radiation_Diffuse_Tilted,0.0597293417903865,0.2644247495047199,528974,0.0597293417903865,0.2644247495047199,daylight
Wind_Direction,0.05574072200301799,0.11880282222571086,524476,0.05574072200301799,0.11880282222571086,daylight
wind_direction_sin,0.05400407069269995,0.09533739902565744,524476,0.05400407069269995,0.09533739902565744,daylight
cos_day_of_year,0.05335159519657005,0.05240455853825418,528974,0.05335159519657005,0.05240455853825418,daylight
sin_hour,-0.04605604409599476,-0.0027227287591773323,528974,0.04605604409599476,0.0027227287591773323,daylight
day_of_year,-0.02811400670613918,-0.027239058477185007,528974,0.02811400670613918,0.027239058477185007,daylight
month,-0.027274399563268405,-0.026115548370924224,528974,0.027274399563268405,0.026115548370924224,daylight
tilted_to_global_ratio,-0.013867286745593002,-0.11085181942181765,524181,0.013867286745593002,0.11085181942181765,daylight
sin_day_of_year,0.001212937097014015,-0.0012232084017098055,528974,0.001212937097014015,0.0012232084017098055,daylight
hour,-0.00012451170458091336,-0.0007457597021880714,528974,0.00012451170458091336,0.0007457597021880714,daylight
Radiation_Global_Tilted,0.9152605189057006,0.9058218610953316,1091968,0.9152605189057006,0.9058218610953316,all_day
Global_Horizontal_Radiation,0.9113921819649093,0.9004311213282038,1204782,0.9113921819649093,0.9004311213282038,all_day
cos_hour,-0.7940031277799604,-0.8680098230561585,1209749,0.7940031277799604,0.8680098230561585,all_day
Wind_Speed,0.5778804426605235,0.626151870072252,331030,0.5778804426605235,0.626151870072252,all_day
Diffuse_Horizontal_Radiation,0.5236920279647439,0.839061869214632,1204782,0.5236920279647439,0.839061869214632,all_day
Weather_Temperature_Celsius,0.43456704526421974,0.485125506550626,1204782,0.43456704526421974,0.485125506550626,all_day
Weather_Relative_Humidity,-0.43046167342513014,-0.4658701661873139,1192917,0.43046167342513014,0.4658701661873139,all_day
Radiation_Diffuse_Tilted,0.26606931022977404,0.7655722080412011,1133660,0.26606931022977404,0.7655722080412011,all_day
sin_hour,-0.14938769769199606,-0.18341060013479307,1209749,0.14938769769199606,0.18341060013479307,all_day
wind_direction_cos,-0.1086430153595497,-0.05954868849073954,1201256,0.1086430153595497,0.05954868849073954,all_day
wind_direction_sin,0.09488937037667998,0.0943798964508317,1201256,0.09488937037667998,0.0943798964508317,all_day
hour,0.08244221378243001,0.10944349448408856,1209749,0.08244221378243001,0.10944349448408856,all_day
cos_day_of_year,0.07268824839988045,0.0809246508826005,1209749,0.07268824839988045,0.0809246508826005,all_day
rain_indicator,-0.05385669844961622,-0.01790443405624355,1209749,0.05385669844961622,0.01790443405624355,all_day
Weather_Daily_Rainfall,-0.03405032251665669,-0.01850560335622541,1204782,0.03405032251665669,0.01850560335622541,all_day
tilted_to_global_ratio,-0.025407362154324514,-0.09448429277618238,1081947,0.025407362154324514,0.09448429277618238,all_day
sin_day_of_year,-0.017083296590438415,-0.017024317097183914,1209749,0.017083296590438415,0.017024317097183914,all_day
Wind_Direction,-0.013701905744105453,0.00688205909730384,1201256,0.013701905744105453,0.00688205909730384,all_day
month,0.00209112042577059,0.0077942857953923915,1209749,0.00209112042577059,0.0077942857953923915,all_day
day_of_year,0.001786516937454151,0.007439236796566612,1209749,0.001786516937454151,0.007439236796566612,all_day
