feature,mutual_information
Global_Horizontal_Radiation,0.951400042993348
Radiation_Global_Tilted,0.8697902611006105
hour,0.4122482200471662
sin_hour,0.3842172578783831
Diffuse_Horizontal_Radiation,0.38087671379397303
Radiation_Diffuse_Tilted,0.3783097763271108
cos_hour,0.31175927872851705
tilted_to_global_ratio,0.13960767881561242
Wind_Direction,0.10919957559966242
Weather_Relative_Humidity,0.10348035060470107
day_of_year,0.09953242190298894
cos_day_of_year,0.09897145802767415
sin_day_of_year,0.09562044735963227
wind_direction_sin,0.08396788246826681
wind_direction_cos,0.07650387400659131
Weather_Temperature_Celsius,0.07543913729077278
Wind_Speed,0.07283969845277394
month,0.0548526464250787
Weather_Daily_Rainfall,0.022919673468739354
rain_indicator,0.014995988921168824
