latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-23.75,134.0,558.0,34200,Australia/Darwin,GMT+9:30

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),diffuse_radiation (W/m²),global_tilted_irradiance (W/m²),wind_speed_10m (m/s),wind_direction_10m (°),surface_pressure (hPa)
2024-01-01T00:00,24.2,14,0.00,95,0.0,0.0,0.0,0.0,3.22,120,950.6
2024-01-01T01:00,23.6,15,0.00,93,0.0,0.0,0.0,0.0,3.22,116,950.1
2024-01-01T02:00,22.0,18,0.00,62,0.0,0.0,0.0,0.0,3.30,104,949.6
2024-01-01T03:00,21.2,19,0.00,17,0.0,0.0,0.0,0.0,3.18,103,949.7
2024-01-01T04:00,19.6,22,0.00,23,0.0,0.0,0.0,0.0,2.96,102,949.7
2024-01-01T05:00,19.1,23,0.00,41,0.0,0.0,0.0,0.0,2.75,100,950.3
2024-01-01T06:00,20.6,23,0.00,4,23.0,102.5,14.0,13.7,2.67,103,951.3
2024-01-01T07:00,26.4,19,0.00,2,199.0,566.3,62.0,127.7,2.32,97,952.9
2024-01-01T08:00,29.2,18,0.00,1,444.0,786.4,86.0,361.1,3.61,95,953.2
2024-01-01T09:00,30.6,17,0.00,1,679.0,890.0,102.0,601.7,3.60,90,952.9
2024-01-01T10:00,32.4,14,0.00,20,880.0,951.8,111.0,811.9,2.73,98,952.8
2024-01-01T11:00,33.4,12,0.00,80,989.0,927.1,133.0,932.4,2.20,129,952.3
2024-01-01T12:00,35.2,11,0.00,100,1040.0,805.8,245.0,992.9,2.30,146,951.5
2024-01-01T13:00,35.6,11,0.00,100,864.0,394.6,472.0,833.0,2.14,143,950.6
2024-01-01T14:00,35.9,10,0.00,100,685.0,235.4,463.0,660.8,2.16,146,949.8
2024-01-01T15:00,36.4,10,0.00,100,618.0,279.9,383.0,590.4,2.51,151,949.2
2024-01-01T16:00,36.3,10,0.00,100,500.0,259.6,321.0,471.5,3.00,154,949.1
2024-01-01T17:00,35.8,10,0.00,100,349.0,274.3,211.0,317.0,3.61,146,948.8
2024-01-01T18:00,34.9,11,0.00,99,178.0,248.9,105.0,146.1,4.25,139,949.1
2024-01-01T19:00,33.5,12,0.00,89,36.0,44.0,31.0,30.3,3.54,133,949.7
2024-01-01T20:00,31.3,14,0.00,46,0.0,0.0,0.0,0.0,3.33,131,949.6
2024-01-01T21:00,30.4,15,0.00,13,0.0,0.0,0.0,0.0,3.26,130,949.6
2024-01-01T22:00,28.9,17,0.00,1,0.0,0.0,0.0,0.0,2.88,124,949.5
2024-01-01T23:00,27.1,20,0.00,0,0.0,0.0,0.0,0.0,2.82,117,948.7
2024-01-02T00:00,26.3,20,0.00,0,0.0,0.0,0.0,0.0,2.82,107,948.3
2024-01-02T01:00,24.9,22,0.00,0,0.0,0.0,0.0,0.0,2.82,96,947.8
2024-01-02T02:00,23.1,25,0.00,0,0.0,0.0,0.0,0.0,2.80,88,947.1
2024-01-02T03:00,22.6,26,0.00,0,0.0,0.0,0.0,0.0,2.94,80,947.3
2024-01-02T04:00,22.1,27,0.00,0,0.0,0.0,0.0,0.0,3.29,70,946.9
2024-01-02T05:00,21.6,28,0.00,0,0.0,0.0,0.0,0.0,3.49,66,947.6
2024-01-02T06:00,23.1,26,0.00,0,22.0,115.4,12.0,11.8,3.58,63,948.4
2024-01-02T07:00,29.1,21,0.00,0,195.0,567.4,59.0,123.7,3.12,50,950.2
2024-01-02T08:00,33.1,16,0.00,0,434.0,772.3,84.0,352.9,3.78,53,950.5
2024-01-02T09:00,34.5,14,0.00,0,668.0,876.9,101.0,592.1,3.83,49,950.3
2024-01-02T10:00,36.0,14,0.00,0,868.0,935.9,113.0,801.3,3.47,41,949.6
2024-01-02T11:00,38.4,15,0.00,0,1014.0,969.1,120.0,955.8,2.78,30,949.3
2024-01-02T12:00,39.6,13,0.00,0,1096.0,984.6,125.0,1043.2,2.28,38,948.4
2024-01-02T13:00,40.3,12,0.00,2,1105.0,986.4,125.0,1053.5,1.97,60,947.5
2024-01-02T14:00,40.8,12,0.00,11,1041.0,974.8,121.0,984.5,2.12,71,946.7
2024-01-02T15:00,41.3,12,0.00,12,910.0,945.9,115.0,845.8,2.04,79,945.8
