,1D_nwp_globalirrad,1D_nwp_directirrad,3D_u_1000hPa,2D_u10,1D_nwp_temperature,2D_t2m,2D_ssrd,power
2019-04-01 08:00:00,494.58,448.51,1.1205889224609338,1.0470906904296886,15.88,281.05365176875,192.5136586524444,13.92453
2019-04-01 08:15:00,441.94,397.7,0.6670492350097617,0.590164334277343,15.85,281.390147575,243.72048321422216,12.01288
2019-04-01 08:30:00,404.85,362.04,0.2135095475585896,0.1332379781249975,15.81,281.72664338125,294.9273077759999,10.31888
2019-04-01 08:45:00,347.23,306.87,-0.2400301398925823,-0.323688378027348,15.74,282.0631391875,346.1341323377777,8.230032000000001
2019-04-01 09:00:00,308.04,269.53,-0.6935698273437547,-0.7806147341796937,15.68,282.39963499375,397.34095689955547,6.735094
2019-04-01 09:15:00,248.61,213.29,-0.965476103906254,-1.0219560062011777,15.55,283.366399090625,445.0566208995554,3.8675
2019-04-01 09:30:00,208.91,176.08,-1.2373823804687534,-1.2632972782226617,15.4,284.3331631875,492.7722848995554,1.461086
2019-04-01 09:45:00,149.9,121.55,-1.5092886570312527,-1.5046385502441455,15.16,285.29992728437503,540.4879488995555,0.440118
2019-04-01 10:00:00,111.53,86.89,-1.781194933593752,-1.7459798222656295,14.89,286.26669138125004,588.2036128995554,0.0
2019-04-01 10:15:00,57.24,39.94,-1.8107085038085948,-1.76641318916016,14.35,286.24766498828126,625.7562271288888,0.0
2019-04-01 10:30:00,25.41,14.93,-1.8402220740234376,-1.7868465560546904,13.58,286.22863859531253,663.3088413582221,0.0
2019-04-01 10:45:00,0.0,0.0,-1.8697356442382809,-1.807279922949221,12.81,286.2096122023437,700.8614555875555,0.0
2019-04-01 11:00:00,0.0,0.0,-1.899249214453124,-1.8277132898437516,12.34,286.19058580937497,738.4140698168889,0.0
2019-04-01 11:15:00,0.0,0.0,-1.837564500537108,-1.769493421533204,12.0,286.1783181070312,761.9842845866667,0.0
2019-04-01 11:30:00,0.0,0.0,-1.775879786621092,-1.711273553222657,11.75,286.16605040468744,785.5544993564445,0.0
2019-04-01 11:45:00,0.0,0.0,-1.7141950727050763,-1.65305368491211,11.54,286.15378270234373,809.1247141262222,0.0
2019-04-01 12:00:00,0.0,0.0,-1.6525103587890604,-1.5948338166015628,11.3,286.141515,832.6949288960001,0.0
2019-04-01 12:15:00,0.0,0.0,-1.630165251611326,-1.5819210625976563,11.05,286.8906972015625,840.1618823395556,0.0
2019-04-01 12:30:00,0.0,0.0,-1.6078201444335918,-1.5690083085937503,10.82,287.6398794031249,847.6288357831112,0.0
2019-04-01 12:45:00,0.0,0.0,-1.5854750372558577,-1.5560955545898438,10.62,288.38906160468747,855.0957892266667,0.0
2019-04-01 13:00:00,0.0,0.0,-1.5631299300781232,-1.5431828005859376,10.39,289.13824380625,862.5627426702223,0.0
2019-04-01 13:15:00,0.0,0.0,-1.571842443017577,-1.562892437304688,10.17,289.1394162421875,853.3193286684445,0.0
2019-04-01 13:30:00,0.0,0.0,-1.5805549559570309,-1.5826020740234383,9.93,289.140588678125,844.0759146666667,0.0
2019-04-01 13:45:00,0.0,0.0,-1.5892674688964843,-1.6023117107421887,9.69,289.1417611140625,834.8325006648888,0.0
2019-04-01 14:00:00,0.0,0.0,-1.597979981835938,-1.622021347460939,9.44,289.14293355,825.5890866631111,0.0
2019-04-01 14:15:00,0.0,0.0,-1.6793838356933606,-1.7167586177734395,9.19,289.1429479679687,799.8920250168889,0.0
2019-04-01 14:30:00,0.0,0.0,-1.7607876895507832,-1.81149588808594,8.97,289.1429623859375,774.1949633706666,0.0
2019-04-01 14:45:00,0.0,0.0,-1.8421915434082057,-1.90623315839844,8.78,289.1429768039062,748.4979017244444,0.0
2019-04-01 15:00:00,0.0,0.0,-1.923595397265628,-2.0009704287109407,8.6,289.142991221875,722.8008400782222,0.0
2019-04-01 15:15:00,0.0,0.0,-2.039497501611332,-2.147236231787113,8.42,289.254973146875,683.0562435413333,0.0
2019-04-01 15:30:00,0.0,0.0,-2.1553996059570357,-2.293502034863285,8.24,289.36695507187494,643.3116470044445,0.0
2019-04-01 15:45:00,0.0,0.0,-2.271301710302738,-2.439767837939457,8.06,289.4789369968749,603.5670504675556,0.0
2019-04-01 16:00:00,0.0,0.0,-2.3872038146484424,-2.586033641015629,8.17,289.59091892187496,563.8224539306667,0.0
2019-04-01 16:15:00,0.0,0.0,-2.4973461308593805,-2.738110024804693,7.96,289.5079151242187,517.5171604337778,0.0
2019-04-01 16:30:00,0.0,0.0,-2.607488447070318,-2.890186408593756,7.78,289.42491132656244,471.21186693688895,0.0
2019-04-01 16:45:00,0.0,0.0,-2.717630763281256,-3.042262792382819,7.6,289.34190752890623,424.9065734400001,0.0
2019-04-01 17:00:00,0.0,0.0,-2.827773079492194,-3.1943391761718822,7.45,289.25890373125,378.6012799431112,0.0
2019-04-01 17:15:00,0.0,0.0,-2.6465455671875064,-2.974350232861336,7.34,288.44650851562494,327.72827993600004,0.0
2019-04-01 17:30:00,0.0,0.0,-2.465318054882819,-2.754361289550788,7.23,287.6341133,276.85527992888893,0.0
2019-04-01 17:45:00,0.0,0.0,-2.284090542578132,-2.534372346240241,7.11,286.821718084375,225.9822799217778,0.0
2019-04-01 18:00:00,0.0,0.0,-2.1028630302734443,-2.3143834029296944,6.99,286.00932286875,175.10927991466667,0.0
2019-04-01 18:15:00,0.0,0.0,-1.930882227832038,-2.204738469287118,6.85,285.85006601875,137.2875687111111,0.0
2019-04-01 18:30:00,0.0,0.0,-1.758901425390632,-2.095093535644541,6.74,285.69080916875,99.46585750755555,0.0
2019-04-01 18:45:00,0.0,0.0,-1.5869206229492256,-1.9854486020019653,6.62,285.53155231875,61.64414630400002,0.0
2019-04-01 19:00:00,0.0,0.0,-1.4149398205078196,-1.875803668359389,6.49,285.37229546875,23.82243510044446,0.0
2019-04-01 19:15:00,0.0,0.0,-1.2721137511718803,-1.813418863476573,6.33,285.79589999609374,17.866826325333342,0.0
2019-04-01 19:30:00,0.0,0.0,-1.129287681835941,-1.751034058593757,6.16,286.2195045234375,11.91121755022223,0.0
2019-04-01 19:45:00,0.0,0.0,-0.9864616125000016,-1.688649253710941,6.05,286.6431090507812,5.955608775111116,0.0
2019-04-01 20:00:00,0.0,0.0,-0.8436355431640623,-1.626264448828125,5.97,287.06671357812496,0.0,0.0
2019-04-01 20:15:00,0.0,0.0,-0.6982338066894526,-1.3630428266601553,5.88,287.10479676328123,0.0,0.0
2019-04-01 20:30:00,0.0,0.0,-0.5528320702148428,-1.0998212044921856,5.78,287.14287994843744,0.0,0.0
2019-04-01 20:45:00,0.0,0.0,-0.4074303337402331,-0.8365995823242158,5.67,287.1809631335937,0.0,0.0
2019-04-01 21:00:00,0.0,0.0,-0.2620285972656233,-0.5733779601562462,5.56,287.21904631875,0.0,0.0
2019-04-01 21:15:00,0.0,0.0,-0.1522750164062476,-0.400970440869136,5.47,286.76221158593745,0.0,0.0
2019-04-01 21:30:00,0.0,0.0,-0.0425214355468719,-0.2285629215820258,5.41,286.305376853125,0.0,0.0
2019-04-01 21:45:00,0.0,0.0,0.0672321453125037,-0.0561554022949156,5.36,285.84854212031246,0.0,0.0
2019-04-01 22:00:00,0.0,0.0,0.1769857261718795,0.1162521169921945,5.3,285.3917073875,0.0,0.0
2019-04-01 22:15:00,0.58,0.03,0.3415355436523483,0.2593227490234435,5.26,284.29774272968746,0.0,0.098166
2019-04-01 22:30:00,22.07,12.5,0.5060853611328171,0.4023933810546925,5.32,283.203778071875,0.0,0.520748
2019-04-01 22:45:00,70.64,51.17,0.6706351786132859,0.5454640130859415,5.58,282.1098134140625,0.0,1.214746
2019-04-01 23:00:00,107.36,83.18,0.8351849960937547,0.6885346451171904,6.01,281.01584875625,0.0,2.20675
2019-04-01 23:15:00,165.38,135.75,0.954957599951177,0.7853432817382854,6.75,280.87990608828125,0.0,3.3502660000000004
2019-04-01 23:30:00,205.0,172.44,1.0747302038085995,0.8821519183593804,7.46,280.74396342031247,0.0,4.681578
2019-04-01 23:45:00,264.78,228.55,1.1945028076660218,0.9789605549804754,8.31,280.6080207523437,0.0,6.323625
2019-04-02 00:00:00,304.45,266.13,1.314275411523444,1.0757691916015704,8.95,280.47207808437497,0.0,8.314032000000001
2019-04-02 00:15:00,363.14,322.08,1.3841825639648504,1.055156202148444,9.48,280.30924460703125,0.0,10.63125
2019-04-02 00:30:00,401.43,358.75,1.4540897164062567,1.0345432126953176,10.01,280.14641112968746,0.0,12.56938
2019-04-02 00:45:00,457.15,412.32,1.5239968688476628,1.0139302232421912,10.43,279.9835776523437,0.0,14.26425
2019-04-02 01:00:00,492.9,446.78,1.5939040212890692,0.9933172337890648,10.86,279.820744175,0.0,15.76313
2019-04-02 01:15:00,544.02,496.17,1.6113765658203187,1.0096526462890645,11.33,279.7192225632812,0.0,17.724001
2019-04-02 01:30:00,576.32,527.43,1.6288491103515683,1.025988058789064,11.73,279.6177009515625,0.0,18.634439
2019-04-02 01:45:00,621.73,571.43,1.646321654882818,1.0423234712890637,12.14,279.51617933984375,0.0,20.147751
2019-04-02 02:00:00,649.67,598.54,1.6637941994140677,1.0586588837890634,12.53,279.414657728125,0.0,21.830811
2019-04-02 02:15:00,687.95,635.71,1.6621910086914111,1.0945747218261732,12.83,279.32516725625,0.0,23.07375
2019-04-02 02:30:00,711.11,658.2,1.6605878179687548,1.1304905598632833,13.05,279.235676784375,0.0,23.453501
2019-04-02 02:45:00,742.4,688.62,1.6589846272460986,1.1664063979003934,13.21,279.14618631250005,0.0,25.03331
2019-04-02 03:00:00,760.92,706.64,1.6573814365234425,1.2023222359375032,13.41,279.056695840625,0.0,25.99231
2019-04-02 03:15:00,784.91,730.0,1.6658311060546922,1.235606893652347,13.74,278.69108412500003,0.0,25.79063
2019-04-02 03:30:00,798.16,742.9,1.674280775585942,1.2688915513671906,14.11,278.32547240937504,0.0,26.65731
2019-04-02 03:45:00,813.84,758.18,1.682730445117192,1.3021762090820344,14.5,277.95986069375,0.0,27.917749
2019-04-02 04:00:00,821.4,765.56,1.691180114648442,1.335460866796878,14.88,277.594248978125,0.0,28.068251
2019-04-02 04:15:00,828.34,772.32,1.6949768948242232,1.3414962354492217,15.21,277.5812829109375,0.0,28.430059000000004
2019-04-02 04:30:00,830.06,774.0,1.6987736750000044,1.347531604101565,15.51,277.56831684375004,0.0,27.52706
2019-04-02 04:45:00,828.29,772.29,1.7025704551757856,1.3535669727539084,15.82,277.55535077656253,0.0,27.587879
2019-04-02 05:00:00,824.16,768.28,1.7063672353515669,1.359602341406252,16.12,277.542384709375,0.0,27.118
2019-04-02 05:15:00,813.58,757.99,1.6702739372558637,1.3167586232910162,16.37,277.7557293875,0.0,27.573
2019-04-02 05:30:00,803.56,748.25,1.63418063916016,1.2739149051757803,16.59,277.96907406562497,0.0,27.09613
2019-04-02 05:45:00,784.13,729.34,1.5980873410644565,1.231071187060545,16.78,278.18241874375,0.0,26.59519
2019-04-02 06:00:00,768.26,713.89,1.561994042968753,1.1882274689453094,16.99,278.39576342187496,0.0,24.203369
