Feature,Source,Category,Pearson_abs,MI,SHAP_with_LMD,SHAP_without_LMD,Composite_Score
1D_nwp_globalirrad,1D,辐射类,0.9361255792668736,1.1292420295011771,0.03298338785326862,5.836404417438784,0.913190905768561
1D_lmd_totalirrad,1D,辐射类,0.9899988116041617,1.7437857026577253,6.085223145575607,0.0,0.5
1D_nwp_directirrad,1D,辐射类,0.9268106069931243,0.9450176029011432,0.022487831083745333,0.8505655715059754,0.4621061906613505
1D_lmd_diffuseirrad,1D,辐射类,0.8241731298651063,1.3175915961027647,0.30905912339412545,0.0,0.4008682557515866
3D_u_1000hPa,3D,风场类,0.4952851728041402,0.2493688359886308,0.027466009569369006,0.25459890209072333,0.20049873414480274
2D_u10,2D,风场类,0.4577836611164964,0.23489643205557886,0.026324102693045286,0.2953273391726352,0.19096391468400062
1D_nwp_temperature,1D,温度类,0.5135894167794294,0.20636192062199843,0.014849864156394757,0.08749076586217591,0.18679687203507006
1D_lmd_temperature,1D,温度类,0.47862860789329725,0.19838151020918016,0.04655272715236737,0.0,0.1677921151976426
2D_t2m,2D,温度类,0.42574200742781876,0.239919523568914,0.013535838939924775,0.07925780462878375,0.163319923831582
2D_ssrd,2D,辐射类,0.4151138151811289,0.2580406840480043,0.061169773120819795,0.09127294573018757,0.1632069530915649
1D_nwp_humidity,1D,湿度云量类,0.4052547469290704,0.2066784354083886,0.03838905408305506,0.16374414279969768,0.16053701135001483
3D_r_1000hPa,3D,湿度云量类,0.3557914519159613,0.24379976033868722,0.04261072332773741,0.21930803605238142,0.15456578526882186
2D_fdir,2D,辐射类,0.3618883228957309,0.24384935055197232,0.03560907865378302,0.020664047944943614,0.13940134356338155
1D_lmd_windspeed,1D,风场类,0.3728494931248085,0.10656536018799745,0.026895163932823637,0.0,0.12520713053851357
1D_nwp_winddirection,1D,风场类,0.2298900804163849,0.17539694909861492,0.02124975643596053,0.07744411998419345,0.09641511978453778
3D_t_500hPa,3D,温度类,0.15047247558008697,0.13969842482242445,0.0255788998325677,0.2979315880795639,0.0871437607950348
3D_t_1000hPa,3D,温度类,0.2063066531239584,0.15909040100909078,0.0319965005152695,0.03866952908121154,0.08407658375761538
1D_nwp_windspeed,1D,风场类,0.20168298253161474,0.0756660597542167,0.012008958691433634,0.09546451657383904,0.07797286264933871
1D_lmd_winddirection,1D,风场类,0.23017079519306247,0.05454728874551762,0.005421974436709227,0.0,0.07600500130536657
2D_v10,2D,风场类,0.13911870251945718,0.2211291283286494,0.02870502551860293,0.04538432638983993,0.07140723275621862
3D_u_850hPa,3D,风场类,0.12582110635765803,0.12362401670130652,0.011425067342749822,0.19759374148098294,0.06923415660225114
3D_r_850hPa,3D,湿度云量类,0.134188397581473,0.11417627851225909,0.08253525368775927,0.17547482992732613,0.06879120398970223
3D_v_1000hPa,3D,风场类,0.1208858656416033,0.2125383045509759,0.04397023480752367,0.049174011737129195,0.06522147600388736
2D_tcc,2D,湿度云量类,0.16811189895877543,0.05355260795108219,0.0072815042092123595,0.029297583375555086,0.05959506972394327
3D_v_500hPa,3D,风场类,0.10018717966529479,0.1131083484266373,0.04073950356561212,0.10445159555894144,0.05228080567048184
3D_v_850hPa,3D,风场类,0.12263639372588278,0.08554593308435532,0.013061568453376545,0.047965061535866514,0.05108323484951295
1D_nwp_pressure,1D,气压环流类,0.11176304317250675,0.10961707951332489,0.008612463516727484,0.023630065603533038,0.0484643087630597
1D_lmd_pressure,1D,气压环流类,0.11882689954958554,0.10057074783120878,0.00675778501499631,0.0,0.04754295459982719
3D_u_500hPa,3D,风场类,0.074984293173074,0.11243702484085283,0.018189982736223576,0.05651732414141375,0.040460072175316567
3D_t_850hPa,3D,温度类,0.06351826794721001,0.13473937764300725,0.0443947720049333,0.05373421222961795,0.03930501155718822
2D_d2m,2D,温度类,0.03108664212727103,0.16790034246360008,0.015291326100582873,0.028537462692895105,0.03112197968431178
3D_r_500hPa,3D,湿度云量类,0.02746354803612134,0.06668406703625518,0.016356656507546925,0.07890621529137039,0.02273032347779049
2D_sp,2D,气压环流类,0.0029240128075670095,0.1482548265150827,0.005902518495538035,0.03338268076355411,0.020749722210676273
